Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
CJ McCollum,NOR,"PG,SG",21.7,4.6,5.1,0.4,1.1,0.449,0.725,2.8,72,35.3,2.1,19.30,2.90
Jimmy Butler,MIA,"SF,PF,SG DTD",21.6,6,5.3,0.5,1.6,0.479,0.88,0.6,59,34.4,2.3,14.56,7.98
RJ Barrett,NYK,"SG,SF",21.3,6.5,3.1,0.3,0.7,0.432,0.716,2.1,75,35.3,2.1,16.60,5.30
Klay Thompson,GSW,"SG,SF",21.3,4.3,2.8,0.5,0.7,0.435,0.888,3.6,68,32.1,1.6,17.91,1.59
Keldon Johnson,SAS,"SF,PF DTD",21.2,5.9,2.6,0.2,0.8,0.468,0.781,2.7,75,33.7,1.7,13.48,3.12
Darius Garland,CLE,"PG,SG",21,3.2,8.2,0.1,1.3,0.462,0.896,2.4,72,35.3,2.8,17.25,3.54
Khris Middleton,MIL,"SF,PF,SG DTD",20.9,5.4,5.5,0.3,1.2,0.461,0.906,2.5,67,32.7,3,15.48,4.41
Terry Rozier,CHA,"PG,SG",20.8,4.3,4.6,0.3,1.3,0.445,0.85,3.2,72,34.2,1.5,16.00,2.41
Cade Cunningham,DET,"PG,SG DTD",20.8,5.7,6.5,0.6,1.2,0.437,0.857,1.9,74,33.7,3.7,16.11,2.63
Tyler Herro,MIA,"PG,SG DTD",20.5,5,4.3,0.1,0.7,0.441,0.878,2.6,70,32.9,2.6,17.00,3.32
Kristaps Porzingis,WAS,"PF,C DTD",20.3,8.6,2.2,1.6,0.8,0.471,0.868,1.6,59,31,2,15.04,5.61
Fred VanVleet,TOR,"PG,SG DTD",20.1,4.2,6.6,0.5,1.5,0.406,0.874,3.7,66,36.7,2.5,16.88,3.42
Bam Adebayo,MIA,"PF,C DTD",19.9,10.3,3.7,1,1.3,0.556,0.766,0.1,72,33.3,3,13.02,6.07
Domantas Sabonis,SAC,"PF,C DTD",19.5,12.3,5.9,0.6,1,0.551,0.743,0.6,72,34.1,3.1,12.50,5.35
Julius Randle,NYK,"PF,C DTD",19.5,9.3,4.7,0.5,0.8,0.439,0.771,1.7,75,34.8,3,17.31,5.57
Dillon Brooks,MEM,"SG,SF",19,3.3,2.4,0.3,1.1,0.428,0.847,1.7,67,28.9,1.7,16.44,3.31
Dejounte Murray,ATL,"PG,SG",18.9,6.3,6.3,0.3,1.8,0.455,0.806,1.4,73,34.2,2.5,18.25,3.63
Tyrese Maxey,PHI,"PG,SG",18.8,3.3,4.1,0.3,0.8,0.468,0.856,2.1,76,35.1,1.3,13.27,3.28
Anfernee Simons,POR,"PG,SG OUT",18.7,3,3.3,0.1,0.6,0.435,0.871,3.1,70,32.4,2.1,13.96,2.04
